backend,configuration,trial,available,success,failure_reason,signing_latency_ms,verification_latency_ms,server_side_latency_ms,end_to_end_latency_ms
zt_authenticator,ZT-Authenticator,70,True,True,,0.007917,0.023083,0.064541,3400.064541
zt_authenticator,ZT-Authenticator,71,True,True,,0.018833,0.014459,0.063459,3400.063459
zt_authenticator,ZT-Authenticator,72,True,True,,0.002625,0.007666,0.022,3400.022
zt_authenticator,ZT-Authenticator,73,True,True,,0.002459,0.0075,0.0205,3400.0205
zt_authenticator,ZT-Authenticator,74,True,True,,0.0025,0.00775,0.020709,3400.020709
zt_authenticator,ZT-Authenticator,75,True,True,,0.002583,0.007917,0.02125,3400.02125
zt_authenticator,ZT-Authenticator,76,True,True,,0.002459,0.007792,0.020875,3400.020875
zt_authenticator,ZT-Authenticator,77,True,True,,0.002458,0.007875,0.020875,3400.020875
zt_authenticator,ZT-Authenticator,78,True,True,,0.0025,0.007584,0.020584,3400.020584
zt_authenticator,ZT-Authenticator,79,True,True,,0.002375,0.007583,0.020209,3400.020209
zt_authenticator,ZT-Authenticator,80,True,True,,0.002333,0.007625,0.020459,3400.020459
zt_authenticator,ZT-Authenticator,81,True,True,,0.002416,0.007584,0.020375,3400.020375
zt_authenticator,ZT-Authenticator,82,True,True,,0.0025,0.007541,0.020333,3400.020333
zt_authenticator,ZT-Authenticator,83,True,True,,0.002375,0.007667,0.020292,3400.020292
zt_authenticator,ZT-Authenticator,84,True,True,,0.002333,0.007542,0.020208,3400.020208
zt_authenticator,ZT-Authenticator,85,True,True,,0.002416,0.007875,0.02075,3400.02075
zt_authenticator,ZT-Authenticator,86,True,True,,0.002416,0.007709,0.020625,3400.020625
zt_authenticator,ZT-Authenticator,87,True,True,,0.002375,0.007667,0.020417,3400.020417
zt_authenticator,ZT-Authenticator,88,True,True,,0.002334,0.007625,0.02025,3400.02025
zt_authenticator,ZT-Authenticator,89,True,True,,0.002375,0.007708,0.020375,3400.020375
zt_authenticator,ZT-Authenticator,90,True,True,,0.002416,0.007584,0.020375,3400.020375
zt_authenticator,ZT-Authenticator,91,True,True,,0.002375,0.007625,0.020416,3400.020416
zt_authenticator,ZT-Authenticator,92,True,True,,0.002458,0.0075,0.020333,3400.020333
zt_authenticator,ZT-Authenticator,93,True,True,,0.002375,0.007666,0.020417,3400.020417
zt_authenticator,ZT-Authenticator,94,True,True,,0.002375,0.007583,0.020334,3400.020334
zt_authenticator,ZT-Authenticator,95,True,True,,0.002459,0.007583,0.020334,3400.020334
zt_authenticator,ZT-Authenticator,96,True,True,,0.002416,0.0075,0.02025,3400.02025
zt_authenticator,ZT-Authenticator,97,True,True,,0.002375,0.007667,0.020334,3400.020334
